"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T22:37:31.092-06:00","0.0","3.09"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T22:37:05.813-06:00","0.0","16.19"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T22:36:58.015-06:00","0.0","4.16"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T22:37:25.199-06:00","0.0","3.19"
