"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-12T22:35:34.524-06:00","0.0","3.96"
"Serenity id info","Get all student","SUCCESS","2018-08-12T22:35:29.153-06:00","0.0","3.15"
"Serenity id info","Is this manul test","PENDING","2018-08-12T22:35:07.659-06:00","0.0","5.04"
"Serenity id info","This is a skipped test","IGNORED","2018-08-12T22:35:40.883-06:00","0.0","2.49"
"Serenity id info","This is failing test","FAILURE","2018-08-12T22:35:51.222-06:00","0.0","3.43"
"Serenity id info","This pending test","PENDING","2018-08-12T22:35:57.403-06:00","0.0","3.27"
"Serenity id info","This test cause error","ERROR","2018-08-12T22:35:46.027-06:00","0.0","2.64"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-12T22:35:15.269-06:00","0.0","11.15"
